transaction_id,customer_id,amount,transaction_type,transaction_time,location
1001,CUST6,4624.99,deposit,2026-05-21T20:57:05.725241,Sanaa
1002,CUST50,3878.11,withdraw,21/05/2026 20:57,Taiz
1003,CUST8,$4746.67,withdraw,2026-05-21T20:57:05.726036,Taiz
1004,CUST49,4766.75,123,2026-05-21T20:57:05.726628,Ibb
1005,CUST26,9150.0,withdraw,invalid-timestamp-999,Sanaa
1006,CUST17,132.89,deposit,2026-09-14 20:57:05,Sanaa
1007,CUST38,$7569.13,payment,2026-05-21 20:57:05,Aden
1008,CUST49,7024.35,deposit,invalid-timestamp-999,
1009,CUST6,5892.6,withdraw,2026-07-02 20:57:05,
1010,CUST3,6136.41,withdraw,2026-05-21 20:57:05,Ibb
1011,CUST40,INVALID_AMOUNT,withdraw,2026-05-21T20:57:05.726788,Ibb
1012,CUST16,8687.22,withdraw,1779386225,Aden
1013,,-1480.93,transfer,21/05/2026 20:57,Ibb
1009,CUST17,3896.01,transfer,21/05/2026 20:57,Sanaa
1015,CUST30,$3501.2,transfer,2026-12-11 20:57:05,Ibb
1016,CUST22,6006.56,transfer,2026-05-21 20:57:05,Aden
1017,CUST33,8934.08,transfer,2026-10-28 20:57:05,Sanaa
1018,CUST43,$190.2,123,2026-05-21 20:57:05,Taiz
1019,,7410.17,transfer,21/05/2026 20:57,
1020,CUST43,5225.49,transfer,21/05/2026 20:57,Taiz
1021,CUST38,3872.4,transfer,2026-05-21T20:57:05.726934,Taiz
1022,CUST33,1898.38,transfer,2026-05-21 20:57:05,Ibb
1023,CUST36,9596.47,deposit,invalid-timestamp-999,Aden
1024,CUST50,3434.2,payment,invalid-timestamp-999,Taiz
1025,CUST27,963.0,payment,2026-05-21T20:57:05.726967,Aden
1026,CUST8,2599.45,payment,2026-05-21T20:57:05.726975,Ibb
1027,CUST8,8791.99,deposit,2027-02-22 20:57:05,
1028,CUST4,5731.99,transfer,2026-06-17 20:57:05,Ibb
COMPLETELY CORRUPTED LINE WITH NO STRUCTURE
1030,CUST11,"8736,69",deposit,invalid-timestamp-999,Sanaa
1031,CUST15,1894.43,payment,invalid-timestamp-999,Ibb
1032,CUST35,5361.53,withdraw,2026-05-21 20:57:05,
1033,CUST4,6434.99,withdraw,2027-05-11 20:57:05,Aden
1034,CUST33,$9374.6,deposit,2026-12-09 20:57:05,Aden
1035,,1869.2,transfer,21/05/2026 20:57,
1036,CUST40,5807.2,payment,2026-05-21 20:57:05,Ibb
1037,CUST25,4350.56,withdraw,21/05/2026 20:57,Sanaa
1038,CUST11,7582.7,payment,2026-05-21 20:57:05,Aden
1039,CUST17,2777.62,withdraw,2026-05-21T20:57:05.727121,Taiz
1040,CUST35,4041.22,withdraw,2026-05-21T20:57:05.727129,Sanaa
1041,CUST34,238.48,withdraw,21/05/2026 20:57,Aden
1042,CUST34,4926.69,withdraw,2026-05-21 20:57:05,Aden
1043,CUST3,9547.32,transfer,2026-05-21T20:57:05.727158,Aden
1013,CUST16,5157.47,deposit,2026-05-21 20:57:05,Taiz
1045,CUST6,3225.04,123,21/05/2026 20:57,Aden
1046,CUST43,3450.18,deposit,2026-05-21 20:57:05,Sanaa
1030,CUST12,2868.83,payment,1779386225,Taiz
1048,CUST17,2443.1,payment,2026-09-02 20:57:05,Taiz
1049,CUST43,815.35,transfer,2026-05-21 20:57:05,Taiz
1050,CUST28,3082.07,payment,2027-02-28 20:57:05,Sanaa
1009,CUST38,9734.76,withdraw,21/05/2026 20:57,Ibb
1052,CUST35,9047.45,deposit,21/05/2026 20:57,Ibb
1053,CUST46,5037.33,withdraw,21/05/2026 20:57,Aden
1054,CUST23,,123,1779386225,Sanaa
1055,CUST11,7375.45,transfer,1779386225,Aden
1056,CUST31,8539.11,withdraw,2026-05-21 20:57:05,
1057,CUST17,778.96,payment,invalid-timestamp-999,
1058,CUST8,3543.15,deposit,1779386225,Sanaa
1045,CUST46,3140.43,payment,invalid-timestamp-999,Ibb
1060,CUST19,904.07,transfer,2026-05-21 20:57:05,Taiz
1061,CUST42,9956.98,payment,1779386225,Aden
1023,CUST42,8996.06,transfer,2026-05-21 20:57:05,Aden
1063,CUST35,1928.84,withdraw,invalid-timestamp-999,Ibb
1064,CUST21,6764.13,deposit,2026-05-21 20:57:05,Sanaa
1065,CUST34,"4983,25",deposit,2027-01-23 20:57:05,Aden
1066,CUST38,8858.25,deposit,2026-05-21 20:57:05,Ibb
1067,CUST16,,deposit,21/05/2026 20:57,Sanaa
1068,,,123,21/05/2026 20:57,Sanaa
1069,CUST42,INVALID_AMOUNT,transfer,2026-05-21T20:57:05.727558,Taiz
1070,CUST35,3134.71,deposit,21/05/2026 20:57,Taiz
1071,CUST24,5530.37,deposit,1779386225,Aden
1072,CUST37,4779.64,withdraw,2026-05-21T20:57:05.727588,Aden
1073,CUST7,590.88,123,2027-03-10 20:57:05,
1037,CUST15,7334.47,payment,1779386225,Ibb
1075,CUST45,"5943,19",payment,invalid-timestamp-999,Ibb
1076,CUST26,3201.16,transfer,1779386225,Ibb
1077,CUST35,1256.69,withdraw,2026-05-21T20:57:05.727685,Taiz
1012,CUST49,4171.77,transfer,invalid-timestamp-999,Taiz
1079,CUST45,1608.35,payment,2026-08-04 20:57:05,Taiz
1080,CUST37,243.34,payment,2026-05-21 20:57:05,
1081,CUST29,2887.27,payment,2027-01-05 20:57:05,Sanaa
1082,CUST7,1791.71,payment,1779386225,Aden
1033,CUST48,-7477.0,withdraw,1779386225,Aden
1084,CUST7,3516.92,transfer,1779386225,Ibb
1085,CUST33,-6519.2,payment,21/05/2026 20:57,Ibb
1086,CUST11,2601.21,withdraw,2026-11-27 20:57:05,Taiz
1087,CUST19,5357.4,withdraw,21/05/2026 20:57,Aden
